cutoff,exact_recoverable,rank_observation,rank_protected,collision_max_protected_distance,mean_recovery_error,max_recovery_error
0,False,0,2,10.131331885360845,3.8971773634435385,5.065665942680423
1,False,1,2,7.947670612636882,2.9803764797388306,3.9738353063184415
2,True,2,2,0.0,4.237251449629863e-15,5.8462731070081335e-15
3,True,2,2,0.0,4.226289670508491e-15,5.789383741865372e-15
