sensor_profile,functional_name,horizon,predicted_min_horizon,exact_recoverable,rank_observation,rank_protected,collision_max_protected_distance,mean_recovery_error,max_recovery_error,interpolation_residual
three_active,sensor_sum,1,1,True,1,1,2.220446049250313e-16,1.296339129336371e-16,4.440892098500626e-16,0.0
three_active,sensor_sum,2,1,True,2,1,0.0,2.5298843033440887e-16,6.661338147750939e-16,2.7755575615628914e-17
three_active,sensor_sum,3,1,True,3,1,0.0,3.846391944827513e-15,9.103828801926284e-15,5.087681048627601e-16
three_active,sensor_sum,4,1,True,3,1,0.0,1.0486770081236092e-15,2.886579864025407e-15,2.3055512673781017e-16
three_active,first_moment,1,2,False,1,1,0.24000000000000005,0.5742662779397474,1.4,
three_active,first_moment,2,2,True,2,1,0.0,5.4226798383665085e-16,1.3322676295501878e-15,2.3055512673781017e-16
three_active,first_moment,3,2,True,3,1,0.0,2.185837557279149e-15,5.773159728050814e-15,3.387999773988765e-16
three_active,first_moment,4,2,True,3,1,0.0,2.802686006825689e-15,5.995204332975845e-15,4.775249788392736e-16
three_active,second_moment,1,3,False,1,1,0.402,0.5381943634596695,1.243,
three_active,second_moment,2,3,False,2,1,0.018000000000000065,0.5381943634596695,1.243,
three_active,second_moment,3,3,True,3,1,0.0,2.1873554403206287e-15,5.773159728050814e-15,5.688200336284365e-16
three_active,second_moment,4,3,True,3,1,0.0,8.976688237895435e-16,2.220446049250313e-15,1.1188630228279524e-16
three_active,protected_coordinate,1,3,False,1,1,1.9999999999999998,0.5714285714285714,1.0,
three_active,protected_coordinate,2,3,False,2,1,1.9999999999999987,0.5714285714285714,1.0,
three_active,protected_coordinate,3,3,True,3,1,0.0,2.6064022983940556e-14,9.00390872971002e-14,1.165376734978219e-13
three_active,protected_coordinate,4,3,True,3,1,0.0,7.512293346508822e-15,3.552713678800501e-14,3.972054645195637e-15
two_active,sensor_sum,1,1,True,1,1,5.551115123125783e-17,1.297148329791637e-16,2.220446049250313e-16,3.3766115072321297e-16
two_active,sensor_sum,2,1,True,2,1,0.0,2.2034528396897239e-16,4.440892098500626e-16,1.2412670766236366e-16
two_active,sensor_sum,3,1,True,2,1,0.0,2.209117242876587e-16,4.440892098500626e-16,8.326672684688674e-17
two_active,sensor_sum,4,1,True,2,1,0.0,2.339398516174437e-16,4.440892098500626e-16,6.713178136967714e-16
two_active,first_moment,1,2,False,1,1,0.12000000000000005,0.553469387755102,1.08,
two_active,first_moment,2,2,True,2,1,0.0,6.174199473680718e-17,2.220446049250313e-16,1.1443916996305594e-16
two_active,first_moment,3,2,True,2,1,0.0,7.944325469575418e-17,2.220446049250313e-16,5.551115123125783e-17
two_active,first_moment,4,2,True,2,1,0.0,1.2659941122638903e-16,2.220446049250313e-16,0.0
two_active,second_moment,1,2,False,1,1,0.192,0.5226122448979591,0.987,
two_active,second_moment,2,2,True,2,1,0.0,8.616973348015406e-17,2.220446049250313e-16,1.1188630228279524e-16
two_active,second_moment,3,2,True,2,1,0.0,1.2412123483213645e-16,3.3306690738754696e-16,3.3766115072321297e-16
two_active,second_moment,4,2,True,2,1,0.0,5.466149075322837e-17,1.1102230246251565e-16,1.1857187100668868e-16
two_active,protected_coordinate,1,2,False,1,1,2.0,0.5714285714285714,1.0,
two_active,protected_coordinate,2,2,True,2,1,0.0,1.8511269614668426e-15,5.329070518200751e-15,3.552713678800501e-15
two_active,protected_coordinate,3,2,True,2,1,0.0,1.375317093770347e-15,3.552713678800501e-15,2.673771110915334e-15
two_active,protected_coordinate,4,2,True,2,1,0.0,1.907770993335473e-15,4.773959005888173e-15,9.155133597044475e-16
protected_hidden,sensor_sum,1,1,True,1,1,1.1102230246251565e-16,3.4212995248652784e-16,6.661338147750939e-16,3.510833468576701e-16
protected_hidden,sensor_sum,2,1,True,2,1,0.0,1.047914589569663e-16,2.220446049250313e-16,1.1102230246251565e-16
protected_hidden,sensor_sum,3,1,True,2,1,0.0,3.613889233218622e-16,7.771561172376096e-16,4.440892098500626e-16
protected_hidden,sensor_sum,4,1,True,2,1,0.0,1.4897380381449804e-16,4.440892098500626e-16,1.2412670766236366e-16
protected_hidden,first_moment,1,2,False,1,1,0.11999999999999977,0.5692517006802721,1.27,
protected_hidden,first_moment,2,2,True,2,1,0.0,0.0,0.0,5.79553433516819e-16
protected_hidden,first_moment,3,2,True,2,1,0.0,2.2338990068191127e-16,4.440892098500626e-16,2.220446049250313e-16
protected_hidden,first_moment,4,2,True,2,1,0.0,1.3527302860627307e-16,4.440892098500626e-16,3.7238012298709097e-16
protected_hidden,second_moment,1,2,False,1,1,0.20999999999999985,0.5366122448979591,1.1585,
protected_hidden,second_moment,2,2,True,2,1,0.0,6.278990932637684e-16,1.3322676295501878e-15,1.2658490090568385e-15
protected_hidden,second_moment,3,2,True,2,1,0.0,2.445606075928119e-16,4.440892098500626e-16,1.5700924586837752e-16
protected_hidden,second_moment,4,2,True,2,1,0.0,8.581570828097511e-17,2.220446049250313e-16,1.2412670766236366e-16
protected_hidden,protected_coordinate,1,,False,1,1,2.0,0.5714285714285714,1.0,
protected_hidden,protected_coordinate,2,,False,2,1,2.0,0.5714285714285714,1.0,
protected_hidden,protected_coordinate,3,,False,2,1,2.0,0.5714285714285714,1.0,
protected_hidden,protected_coordinate,4,,False,2,1,2.0,0.5714285714285714,1.0,
