lane,subdomain,context_id,target,standard_entropy,standard_mi_state,standard_mi_target,standard_fisher_trace,standard_rank,standard_qfi_trace,recoverability_defect,recoverability_alignment,compatibility_defect,compatibility_csr,tfcd,ambiguity_lid,ambiguity_index,is_real_data,rmse_bestfit,chi2_bestfit,nfw_rmse,burkert_rmse,p_nfw,p_burkert,verdict_good
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.00_k1,coarse_thermodynamic,1.0,0.5978208097977272,0.19244281050781262,,2.0,,0.24999999999999994,0.4264,0.6780928208689729,0.321907179131027,0.2868,,,0,,,,,,,0
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.00_k1,medium_summary,1.0,0.5978208097977272,0.0,,2.0,,0.5,0.0,1.0,0.0,0.5,,,0,,,,,,,0
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.00_k1,fine_micro_label,1.0,0.5978208097977272,0.0,,2.0,,0.5,0.0,1.0,0.0,0.5,,,0,,,,,,,1
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.00_k2,coarse_thermodynamic,2.0,1.1956416195954527,0.45301438014218376,,4.0,,0.0768,0.7272678400000001,0.6211119011602642,0.3788880988397359,0.13636607999999997,,,0,,,,,,,1
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.00_k2,medium_summary,2.0,1.1956416195954527,0.0,,4.0,,0.5,0.0,1.0,0.0,0.5,,,0,,,,,,,0
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.00_k2,fine_micro_label,2.0,1.1956416195954527,0.0,,4.0,,0.5,0.0,1.0,0.0,0.5,,,0,,,,,,,1
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.00_k3,coarse_thermodynamic,2.9999999999999996,1.515564573867165,0.45301438014218387,,8.0,,0.0768,0.7272678399999999,0.7010919970329886,0.29890800296701137,0.13636608000000003,,,0,,,,,,,1
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.00_k3,medium_summary,2.9999999999999996,1.515564573867165,0.0,,8.0,,0.5,0.0,1.0,0.0,0.5,,,0,,,,,,,0
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.00_k3,fine_micro_label,2.9999999999999996,1.515564573867165,0.0,,8.0,,0.5,0.0,1.0,0.0,0.5,,,0,,,,,,,1
blackhole_hawking_surrogate,restricted_radiation_channel,noise0.00_k4,coarse_thermodynamic,4.0,1.8354875281388916,0.45301438014218387,,16.0,,0.07679999999999995,0.7272678400000003,0.753191251263079,0.246808748736921,0.13636607999999986,,,0,,,,,,,1
