battlefield,subdomain,context_id,standard_entropy,standard_mi_state,standard_mi_target,standard_fisher_trace,standard_rank,standard_qfi_trace,recoverability_defect,recoverability_alignment,compatibility_defect,compatibility_csr,tfcd,closure_defect,cco,ambiguity_lid,ambiguity_index,retained_energy,observability_rank,bayes_error,is_real_data,flow_monotone,verdict_good,compatibility_lift_ref
quantum,qubit_multi_parameter,Z_depol0.0_noise0.0,0.5983587330893142,0.4016412669106861,0.0,1.00000000015326,1.0,1.5370554614083822,1000.0,5.378727826043106e-10,1.0,0.0,0.5,,,1.0,0.9999999998511182,,,0.5,0,,0,0.8331862705589267
quantum,qubit_multi_parameter,Z_depol0.3_noise0.0,0.8249467591571743,0.1750532408428259,0.0,0.3070086726281767,1.0,0.7531571760901072,1000.0,2.7730745399390227e-10,1.0,0.0,0.5,,,1.0,6.59826773413949,,,0.5,0,,0,0.8331862705589267
quantum,qubit_multi_parameter,X_depol0.0_noise0.0,0.777833897769216,0.22216610223078392,0.005230733558701118,0.7437035327701522,1.0,1.5370554614083822,1000.0,3.117582929431244e-10,0.9764557531226457,0.023544246877354333,0.4963787157277253,,,1.0,2.043461797164224,,,0.4574483591839593,0,,0,0.8331862705589267
quantum,qubit_multi_parameter,X_depol0.3_noise0.0,0.8999709255449995,0.10002907445500019,0.002561476651730194,0.27605891507343266,1.0,0.7531571760901072,1000.0,5.772914904973298e-10,0.9743926786718143,0.025607321328185627,0.49822557070658546,,,1.0,7.083729854134422,,,0.4702138514287716,0,,0,0.8331862705589267
quantum,qubit_multi_parameter,Y_depol0.0_noise0.0,0.7778338977692161,0.2221661022307838,0.1363984935753591,0.7437035327701103,1.0,1.5370554614083822,1000.0,3.1175829293983795e-10,0.3860517324390479,0.6139482675609521,0.40847514574358956,,,1.0,2.043461797145878,,,0.2860784556707642,0,,0,0.8331862705589267
quantum,qubit_multi_parameter,Y_depol0.3_noise0.0,0.8999709255449995,0.1000290744550002,0.06570448639305788,0.27605891508551156,1.0,0.7531571760901072,1000.0,5.772914905070464e-10,0.34314611275728457,0.6568538872427154,0.45515282141435875,,,1.0,7.083729853922646,,,0.3502549189695346,0,,0,0.8331862705589267
quantum,qubit_multi_parameter,ZX_depol0.0_noise0.0,1.6880963154292652,0.3119036845707354,0.002615366779350684,0.8718517664630262,1.875,1.5370554614083822,166.81372944107332,0.15948641604321956,0.9916148256377602,0.008385174362239876,0.4981893578638626,,,0.125,1.179431276505955,,,0.47872417959197966,0,,0,0.8331862705589267
quantum,qubit_multi_parameter,ZX_depol0.3_noise0.0,1.862458842351087,0.13754115764891348,0.0012807383258652185,0.2915337938526349,1.875,0.7531571760901072,512.5252827586157,0.08698967984816317,0.9906883266961122,0.009311673303887855,0.49911278535329273,,,0.125,4.630735332482371,,,0.48510692571438574,0,,0,0.8331862705589267
quantum,qubit_multi_parameter,XYZ_depol0.0_noise0.0,2.302971343597072,0.2819911571240852,0.04720974237802018,0.8291356885658476,2.0,1.5370554614083822,17.125675345351357,0.2301331462497062,0.8325843162619232,0.16741568373807683,0.46828462049043823,,,0.0,1.2287128867341257,,,0.4145089382849076,0,,1,0.8331862705589267
quantum,qubit_multi_parameter,XYZ_depol0.3_noise0.0,2.459925370803547,0.12503712991760768,0.022755321014929348,0.28637550093053854,2.0,0.7531571760901072,37.50691895184355,0.13823062741278824,0.8180114896277305,0.18198851037226946,0.4844594640403148,,,0.0,3.6982174782993367,,,0.44015625679943543,0,,1,0.8331862705589267
quantum,qubit_multi_parameter,SIC_depol0.0_noise0.0,1.7233004783472523,0.2766995216527483,0.046328681260164796,0.7539466844537148,2.0,1.5370554614083822,17.124451195064463,0.19995062543750391,0.8325668183904334,0.16743318160956655,0.46828462049043823,,,0.0,1.4668291130300943,,,0.37649233879605515,0,,1,0.8331862705589267
quantum,qubit_multi_parameter,SIC_depol0.3_noise0.0,1.875643075467584,0.12435692453241615,0.02255552872496034,0.2808951390737159,2.0,0.7531571760901072,37.69586348436516,0.1347185988915819,0.8186226556360294,0.18137734436397054,0.4844594640403147,,,0.0,3.8241956046550003,,,0.41354463715723855,0,,1,0.8331862705589267
quantum,qubit_multi_parameter,XYZ_depol0.0_noise0.2,2.4178842867309482,0.16707821399020778,0.029861988855710522,0.39582845508334985,2.0,1.5370554614083822,28.302327323671783,0.06198945987359779,0.8212694034575885,0.17873059654241152,0.47970215711388037,,,0.0,2.679873864066704,,,0.4316071506279261,0,,1,0.8331862705589267
quantum,qubit_multi_parameter,XYZ_depol0.3_noise0.2,2.5068001020548882,0.07816239866626834,0.014484355810614066,0.17358530213262444,2.0,0.7531571760901072,59.51668749421056,0.05179610967415396,0.8146889545642243,0.1853110454357757,0.4900540569858014,,,0.0,6.087421022612859,,,0.45212500543954837,0,,1,0.8331862705589267
hidden_inference,sparc_rotation_curve,D631-7_halo_only,1.2987949406953985,1.2350730651545314,1.0,19789.001989785913,2.0,,3.495929300158229,,0.19033130248461794,0.8096686975153821,0.0,,,0.0,0.0019260258204552986,,,0.0,1,,1,-0.46100923949436223
hidden_inference,sparc_rotation_curve,D631-7_halo_plus_bary,1.2987949406953985,1.2106755948068324,1.0,13118.089065918592,3.0,,5.107585008150232,,0.17401490185357738,0.8259850981464226,0.0,,,0.0,0.012889822951164745,,,0.0,1,,1,-0.46100923949436223
hidden_inference,sparc_rotation_curve,DDO161_halo_only,1.3987153592677852,0.7419947797756384,0.9992492479956566,179381.6147548571,2.0,,2.690122370963927,,0.0,1.0,0.0,,,0.0,0.0001782026695884736,,,0.0,1,,1,-0.22295863142168018
hidden_inference,sparc_rotation_curve,DDO161_halo_plus_bary,1.3987153592677852,0.7946634268963175,0.9992492479956566,105436.91497231701,3.0,,3.2899083731508894,,0.0,1.0,0.0,,,0.0,0.0021313990983146836,,,0.0,1,,1,-0.22295863142168018
