dataset,fiber,bad_context,bad_target,bad_defect,good_context,good_target,good_defect,defect_gap
gravity_hidden_mass,"(np.int64(2), np.int64(1), np.int64(2), np.int64(-1))",NGC0024_burkert,enclosed_mass,0.1094606089917242,NGC0024_burkert,local_profile_class,4.779197438524005e-18,0.1094606089917242
gravity_quantum,"(np.int64(1), np.int64(2), np.int64(2), np.int64(0))",ZX_depol0.0_noise0.0,phase_hemisphere,0.4787241795919796,SIC_depol0.0_noise0.0,phase_hemisphere,0.3764923387960551,0.10223184079592451
gravity_hidden_mass,"(np.int64(2), np.int64(3), np.int64(2), np.int64(-1))",NGC4013_burkert,halo_family_label,0.0919019580393574,NGC4013_burkert,local_profile_class,1.005927489509439e-12,0.09190195803835147
gravity_hidden_mass,"(np.int64(3), np.int64(2), np.int64(1), np.int64(-1))",NGC3521_burkert,enclosed_mass,0.0915680205180808,NGC3521_burkert,local_profile_class,3.3514520304361027e-16,0.09156802051808047
gravity_hidden_mass,"(np.int64(3), np.int64(3), np.int64(2), np.int64(-1))",IC4202_burkert,enclosed_mass,0.0865353749080145,IC4202_burkert,local_profile_class,1.324961131109798e-100,0.0865353749080145
gravity_quantum,"(np.int64(2), np.int64(0), np.int64(0), np.int64(0))",XYZ_depol0.3_noise0.2,phase_hemisphere,0.4521250054395483,SIC_depol0.3_noise0.0,phase_hemisphere,0.4135446371572385,0.03858036828230982
gravity_blackhole,"(np.int64(3), np.int64(1), np.int64(-1), np.int64(3))",noise0.20_k6,medium_summary,0.4262720000000005,noise0.20_k6,fine_micro_label,0.3919999999999997,0.0342720000000008
info_dynamics,"(np.int64(0), np.int64(0), np.int64(0), np.int64(0))",C_pos,linear_control_partial_observation,0.0056866872710075,C_vel,linear_control_partial_observation,0.0034494897427831,0.0022371975282243998
gravity_blackhole,"(np.int64(2), np.int64(1), np.int64(-1), np.int64(2))",noise0.20_k4,medium_summary,0.426272,noise0.20_k5,medium_summary,0.4262719999999996,3.885780586188048e-16
gravity_blackhole,"(np.int64(2), np.int64(2), np.int64(-1), np.int64(2))",noise0.10_k5,coarse_thermodynamic,0.1505519999999999,noise0.10_k4,coarse_thermodynamic,0.1505519999999998,1.1102230246251565e-16
gravity_blackhole,"(np.int64(0), np.int64(0), np.int64(-1), np.int64(0))",noise0.00_k1,medium_summary,0.5,noise0.00_k1,fine_micro_label,0.5,0.0
gravity_blackhole,"(np.int64(1), np.int64(0), np.int64(-1), np.int64(1))",noise0.20_k3,medium_summary,0.5,noise0.20_k3,fine_micro_label,0.5,0.0
gravity_blackhole,"(np.int64(3), np.int64(2), np.int64(-1), np.int64(3))",noise0.10_k6,coarse_thermodynamic,0.1505520000000002,noise0.10_k6,fine_micro_label,0.3560000000000004,-0.2054480000000002
