grid_size,contamination,periodic_divergence_suppression,periodic_recovery_error,transplant_divergence_suppression,transplant_boundary_normal_rms,bounded_hodge_recovery_error,bounded_hodge_boundary_normal_rms,bounded_hodge_vs_transplant_boundary_ratio
17,0.1,91292341855.04083,1.152282554572181e-15,51542284674.61765,0.05908383612007321,1.4286595521890334e-14,5.959669369268147e-16,590838361.2007321
17,0.2,182584683710.0817,1.1101413957483713e-15,51542284674.61765,0.05908383612007321,1.4286595521890334e-14,5.959669369268147e-16,590838361.2007321
17,0.3,273877025565.12247,1.3011753415087904e-15,51542284674.61765,0.05908383612007321,1.4286595521890334e-14,5.959669369268147e-16,590838361.2007321
25,0.1,91854144527.67809,9.327592838753221e-16,63238090252.30708,0.039693616515815135,1.4286595521890334e-14,5.959669369268147e-16,396936165.1581513
25,0.2,183708289055.35617,1.0287688348562736e-15,63238090252.30708,0.039693616515815135,1.4286595521890334e-14,5.959669369268147e-16,396936165.1581513
25,0.3,275562433583.03424,1.0099083602057229e-15,63238090252.30708,0.039693616515815135,1.4286595521890334e-14,5.959669369268147e-16,396936165.1581513
33,0.1,94715238362.26888,1.0622021938187394e-15,73039515244.49954,0.029941427889534456,1.4286595521890334e-14,5.959669369268147e-16,299414278.89534456
33,0.2,189430476724.53772,1.2024794064682532e-15,73039515244.49954,0.029941427889534456,1.4286595521890334e-14,5.959669369268147e-16,299414278.89534456
33,0.3,284145715086.8066,1.1127852702108437e-15,73039515244.49954,0.029941427889534456,1.4286595521890334e-14,5.959669369268147e-16,299414278.89534456
