epsilon,exact_recoverable,rowspace_residual,principal_angle_defect,collision_gap
0.0,True,1.2412670766236366e-16,0.0,0.0
0.01,True,3.6821932062951477e-16,2.5809568279517847e-08,0.0
0.05,True,6.473657049138938e-16,0.0,0.0
0.1,True,1.5700924586837752e-16,0.0,0.0
0.2,True,1.5700924586837752e-16,0.0,0.0
