step,exact_recoverable,rowspace_residual,principal_angle_defect,collision_gap,unrestricted_minimal_added_measurements
1,False,1.4142135623730951,1.0,4.0,1
2,False,1.4142135623730951,1.0,4.0,1
3,False,1.0,0.7071067811865476,2.0,1
4,True,0.0,0.0,0.0,0
