family_id,mode,descriptor_signature,n,k_contexts,m_per_context,total_budget,stack_rank,local_exact_all,shared_exact,shared_aug_threshold,shared_aug_found,context_invariance_gap,cid,stack_alignment,stack_residual,notes
ctxfam_1692,local_only,n5|k2|m2|r3|b4,5,2,2,4,3,1,0,1,1,1,2.8261462174,1.0,0.0,local_exact_global_fail
ctxfam_1696,local_only,n4|k5|m2|r4|b10,4,5,2,10,4,1,0,1,1,1,3.7839230939,1.0,0.0,local_exact_global_fail
ctxfam_1697,local_only,n7|k4|m2|r5|b8,7,4,2,8,5,1,0,1,1,1,4.0128380844,1.0,0.0,local_exact_global_fail
ctxfam_1703,local_only,n7|k2|m2|r3|b4,7,2,2,4,3,1,0,2,1,1,4.7197290396,1.0,0.0,local_exact_global_fail
ctxfam_1706,local_only,n4|k4|m2|r4|b8,4,4,2,8,4,1,0,2,1,1,3.6927884405,1.0,0.0,local_exact_global_fail
ctxfam_1707,local_only,n4|k3|m2|r4|b6,4,3,2,6,4,1,0,1,1,1,4.1940969097,1.0,0.0,local_exact_global_fail
ctxfam_1721,local_only,n7|k3|m2|r4|b6,7,3,2,6,4,1,0,2,1,1,4.6118012068,1.0,0.0,local_exact_global_fail
ctxfam_1725,local_only,n7|k5|m2|r6|b10,7,5,2,10,6,1,0,1,1,1,3.6472993851,1.0,0.0,local_exact_global_fail
ctxfam_1727,local_only,n4|k5|m2|r4|b10,4,5,2,10,4,1,0,1,1,1,4.2661848427,1.0,0.0,local_exact_global_fail
ctxfam_1728,local_only,n4|k2|m2|r3|b4,4,2,2,4,3,1,0,2,1,1,3.6836792189,1.0,0.0,local_exact_global_fail
ctxfam_1729,local_only,n7|k2|m2|r3|b4,7,2,2,4,3,1,0,1,1,1,2.6339833015,1.0,0.0,local_exact_global_fail
ctxfam_1731,local_only,n7|k3|m2|r4|b6,7,3,2,6,4,1,0,2,1,1,2.0404325255,1.0,0.0,local_exact_global_fail
ctxfam_1735,local_only,n7|k4|m2|r5|b8,7,4,2,8,5,1,0,1,1,1,2.8928091523,1.0,0.0,local_exact_global_fail
ctxfam_1736,local_only,n7|k3|m2|r4|b6,7,3,2,6,4,1,0,2,1,1,2.8276809926,1.0,0.0,local_exact_global_fail
ctxfam_1737,local_only,n6|k5|m2|r6|b10,6,5,2,10,6,1,0,2,1,1,3.2646687548,1.0,0.0,local_exact_global_fail
ctxfam_1742,local_only,n7|k3|m2|r4|b6,7,3,2,6,4,1,0,2,1,1,3.9346780877,1.0,0.0,local_exact_global_fail
ctxfam_1750,local_only,n7|k4|m2|r5|b8,7,4,2,8,5,1,0,1,1,1,4.7874429534,1.0,0.0,local_exact_global_fail
ctxfam_1755,local_only,n6|k3|m2|r4|b6,6,3,2,6,4,1,0,2,1,1,3.0286770933,1.0,0.0,local_exact_global_fail
ctxfam_1757,local_only,n5|k3|m2|r4|b6,5,3,2,6,4,1,0,1,1,1,3.1980442421,1.0,0.0,local_exact_global_fail
ctxfam_1759,local_only,n7|k3|m2|r4|b6,7,3,2,6,4,1,0,1,1,1,3.4425309724,1.0,0.0,local_exact_global_fail
ctxfam_1762,local_only,n4|k5|m2|r4|b10,4,5,2,10,4,1,0,1,1,1,4.511433116,1.0,0.0,local_exact_global_fail
ctxfam_1763,local_only,n7|k5|m2|r6|b10,7,5,2,10,6,1,0,2,1,1,7.0484148638,1.0,0.0,local_exact_global_fail
ctxfam_1766,local_only,n6|k2|m2|r3|b4,6,2,2,4,3,1,0,2,1,1,3.0890473184,1.0,0.0,local_exact_global_fail
ctxfam_1767,local_only,n6|k2|m2|r3|b4,6,2,2,4,3,1,0,1,1,1,4.3046248448,1.0,0.0,local_exact_global_fail
ctxfam_1769,local_only,n4|k2|m2|r3|b4,4,2,2,4,3,1,0,2,1,1,2.5417329395,1.0,0.0,local_exact_global_fail
ctxfam_1773,local_only,n6|k3|m2|r4|b6,6,3,2,6,4,1,0,1,1,1,4.7573904123,1.0,0.0,local_exact_global_fail
ctxfam_1776,local_only,n5|k3|m2|r4|b6,5,3,2,6,4,1,0,1,1,1,3.4621766673,1.0,0.0,local_exact_global_fail
ctxfam_1777,local_only,n7|k2|m2|r3|b4,7,2,2,4,3,1,0,1,1,1,4.3078228993,1.0,0.0,local_exact_global_fail
ctxfam_1779,local_only,n5|k2|m2|r3|b4,5,2,2,4,3,1,0,1,1,1,2.5940487059,1.0,0.0,local_exact_global_fail
ctxfam_1781,local_only,n5|k4|m2|r5|b8,5,4,2,8,5,1,0,1,1,1,4.4828129571,1.0,0.0,local_exact_global_fail
ctxfam_1786,local_only,n6|k4|m2|r5|b8,6,4,2,8,5,1,0,1,1,1,4.6391039794,1.0,0.0,local_exact_global_fail
ctxfam_1787,local_only,n4|k4|m2|r4|b8,4,4,2,8,4,1,0,2,1,1,2.8713993456,1.0,0.0,local_exact_global_fail
ctxfam_1791,local_only,n7|k4|m2|r5|b8,7,4,2,8,5,1,0,1,1,1,4.2361802784,1.0,0.0,local_exact_global_fail
ctxfam_1795,local_only,n5|k5|m2|r5|b10,5,5,2,10,5,1,0,2,1,1,5.3005992065,1.0,0.0,local_exact_global_fail
ctxfam_1799,local_only,n5|k4|m2|r5|b8,5,4,2,8,5,1,0,1,1,1,3.9737400147,1.0,0.0,local_exact_global_fail
