family_id,mode,n,k_contexts,m_per_context,total_budget,stack_rank,descriptor_signature,local_exact_all,shared_exact,context_invariance_gap,cid,mean_local_dls,joint_dls,stack_alignment,stack_residual,stack_logdet_info,rank_only_pred_shared,budget_only_pred_shared,enlarged_shared_exact,enlarged_local_exact_all,enlargement_flip,shared_aug_threshold,shared_aug_found,shared_aug_rows,shared_aug_residual,notes
ctxfam_1725,local_only,7,5,2,10,6,n7|k5|m2|r6|b10,1,0,1,3.6472993851,0.0,0.0,1.0,0.0,-46.9511807623,0,1,0,1,0,1,1,1,0.0,
ctxfam_1726,redundant_measurement,7,4,2,8,1,n7|k4|m2|r1|b8,0,0,0,4.6332134277,0.9434673367,0.9434673367,0.1244049642,4.6332134277,-122.5478375446,0,1,0,0,0,,0,,,
ctxfam_1727,local_only,4,5,2,10,4,n4|k5|m2|r4|b10,1,0,1,4.2661848427,0.0,0.0,1.0,0.0,-95.554765893,1,1,0,1,0,1,1,1,0.0,
ctxfam_1728,local_only,4,2,2,4,3,n4|k2|m2|r3|b4,1,0,1,3.6836792189,0.0,0.0,1.0,0.0,-9.1114003223,0,1,0,1,0,2,1,2,0.0,
ctxfam_1729,local_only,7,2,2,4,3,n7|k2|m2|r3|b4,1,0,1,2.6339833015,0.0,0.0,1.0,0.0,-7.3669373356,0,0,0,1,0,1,1,1,0.0,
ctxfam_1730,shared_exact,6,3,2,6,2,n6|k3|m2|r2|b6,0,0,0,2.2451942227,0.0,0.0,0.5509611555,2.2451942227,-63.4685212823,0,1,0,0,0,4,1,4,0.0,
ctxfam_1731,local_only,7,3,2,6,4,n7|k3|m2|r4|b6,1,0,1,2.0404325255,0.0,0.0,1.0,0.0,-20.8083335468,0,0,0,1,0,2,1,2,0.0,
ctxfam_1732,mixed_random,5,3,2,6,5,n5|k3|m2|r5|b6,0,0,0,5.6776348236,0.7949494949,0.0,1.0,0.0,-11.0360702355,1,1,0,0,0,4,1,4,0.0,
ctxfam_1733,mixed_random,5,3,2,6,5,n5|k3|m2|r5|b6,0,0,0,3.7938819205,0.9583333333,0.0,1.0,0.0,-8.3045040181,1,1,0,0,0,4,1,4,0.0,
ctxfam_1734,mixed_random,5,3,2,6,5,n5|k3|m2|r5|b6,0,0,0,4.4302159641,1.0,0.0,1.0,0.0,-9.6166557212,1,1,0,0,0,4,1,4,0.0,
ctxfam_1735,local_only,7,4,2,8,5,n7|k4|m2|r5|b8,1,0,1,2.8928091523,0.0,0.0,1.0,0.0,-39.5565087287,0,1,0,1,0,1,1,1,0.0,
ctxfam_1736,local_only,7,3,2,6,4,n7|k3|m2|r4|b6,1,0,1,2.8276809926,0.0,0.0,1.0,0.0,-18.239221016,0,0,0,1,0,2,1,2,0.0,
ctxfam_1737,local_only,6,5,2,10,6,n6|k5|m2|r6|b10,1,0,1,3.2646687548,0.0,0.0,1.0,0.0,-54.9480343574,1,1,0,1,0,2,1,2,0.0,
ctxfam_1738,shared_exact,6,3,2,6,2,n6|k3|m2|r2|b6,0,0,0,2.5785791021,0.1111111111,0.1111111111,0.392223077,2.5785791021,-64.0667188881,0,1,0,0,0,2,1,2,0.0,
ctxfam_1739,drift_prone,5,5,2,10,5,n5|k5|m2|r5|b10,0,0,0,1.3675030808,0.0,0.0,1.0,0.0,-97.517979962,1,1,0,0,0,4,1,4,0.0,
ctxfam_1740,shared_exact,6,3,2,6,2,n6|k3|m2|r2|b6,1,1,0,0.0,0.0,0.0,1.0,0.0,-65.6683868025,0,1,0,0,1,0,1,0,0.0,
ctxfam_1741,drift_prone,4,3,2,6,4,n4|k3|m2|r4|b6,0,0,0,0.230206591,0.0,0.0,1.0,0.0,-38.2496834808,1,1,0,0,0,3,1,3,0.0,
ctxfam_1742,local_only,7,3,2,6,4,n7|k3|m2|r4|b6,1,0,1,3.9346780877,0.0,0.0,1.0,0.0,-20.1010457044,0,0,0,1,0,2,1,2,0.0,
ctxfam_1743,drift_prone,4,2,2,4,3,n4|k2|m2|r3|b4,0,0,0,0.9846613556,0.0,0.0,0.7510758426,0.9313889121,-19.7439161899,0,1,0,0,0,3,1,3,0.0,
ctxfam_1744,mixed_random,6,2,2,4,4,n6|k2|m2|r4|b4,0,0,0,3.8105165835,0.9375,0.0,0.1159190297,3.5363238811,7.2668273591,0,0,0,0,0,3,1,3,0.0,
ctxfam_1745,mixed_random,7,3,2,6,6,n7|k3|m2|r6|b6,0,0,0,6.0022018207,0.8622735289,0.0,0.6101284925,2.1354141919,9.4605542621,0,0,0,0,0,,0,,,
ctxfam_1746,mixed_random,6,2,2,4,4,n6|k2|m2|r4|b4,0,0,0,3.1659272983,0.7552447552,0.0,0.4134021729,2.0320344805,9.3498414153,0,0,0,0,0,,0,,,
ctxfam_1747,redundant_measurement,7,3,2,6,1,n7|k3|m2|r1|b6,0,0,0,3.7559476643,0.8781725888,0.8781725888,0.0890488856,3.7559476643,-86.0631507431,0,0,0,0,0,,0,,,
ctxfam_1748,shared_exact,5,5,2,10,2,n5|k5|m2|r2|b10,0,0,0,2.6663165036,0.0,0.0,0.5211154191,2.6663165036,-137.9811520599,0,1,0,0,0,3,1,3,0.0,
ctxfam_1749,mixed_random,7,5,2,10,7,n7|k5|m2|r7|b10,0,0,0,5.8804235475,0.9764430813,0.0,1.0,0.0,-38.3323337059,1,1,0,0,0,,0,,,
ctxfam_1750,local_only,7,4,2,8,5,n7|k4|m2|r5|b8,1,0,1,4.7874429534,0.0,0.0,1.0,0.0,-37.9411708936,0,1,0,1,0,1,1,1,0.0,
ctxfam_1751,local_only,5,2,2,4,3,n5|k2|m2|r3|b4,1,1,0,0.0,0.0,0.0,1.0,0.0,-7.8091573513,0,0,0,1,1,0,1,0,0.0,
ctxfam_1752,shared_exact,6,4,2,8,2,n6|k4|m2|r2|b8,0,0,0,2.6721402771,0.7222222222,0.7222222222,0.3869689773,2.6721402771,-100.824918086,0,1,0,0,0,4,1,4,0.0,
ctxfam_1753,mixed_random,5,3,2,6,5,n5|k3|m2|r5|b6,0,0,0,5.5016126829,1.0,0.0,1.0,0.0,-8.3007923179,1,1,0,0,0,3,1,3,0.0,
ctxfam_1754,mixed_random,7,4,2,8,7,n7|k4|m2|r7|b8,0,0,0,6.731514723,0.9397347788,0.0,1.0,0.0,-5.0648653813,1,1,0,0,0,,0,,,
ctxfam_1755,local_only,6,3,2,6,4,n6|k3|m2|r4|b6,1,0,1,3.0286770933,0.0,0.0,1.0,0.0,-22.3937708158,0,1,0,1,0,2,1,2,0.0,
