bridge_case_id,source_family_id,mechanism,pre_local_exact,pre_invariant_exact,post_local_exact,post_invariant_exact,pre_lifted_residual_norm,post_lifted_residual_norm,pre_free_aug_threshold,post_free_aug_threshold,pre_restricted_aug_threshold,post_restricted_aug_threshold,local_gain_shared_loss_flag,threshold_worsened_flag,threshold_improved_flag,notes
fdeep_81,ao_pair_40_bad,context_drift,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_82,ao_pair_41_good,intervention_cleaning,1,1,1,1,5.719103538381361e-14,2.2961087086140034e-13,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_83,ao_pair_41_bad,optimization_induced,1,0,1,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_84,ao_pair_42_good,context_conditioned_differentiation,1,1,0,0,6.717353926855565e-14,inf,0,3,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_85,ao_pair_42_bad,constraint_generation,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_86,ao_pair_43_good,context_drift,1,1,0,0,3.739853452953543e-14,inf,0,3,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_87,ao_pair_43_bad,intervention_cleaning,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_88,ao_pair_44_good,optimization_induced,1,1,1,0,2.260933140504636e-14,inf,0,1,0,1,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_89,ao_pair_44_bad,context_conditioned_differentiation,1,0,0,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_90,ao_pair_45_good,constraint_generation,1,1,1,1,5.4491030888136886e-14,9.528482236649723e-14,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_91,ao_pair_45_bad,context_drift,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_92,ao_pair_46_good,intervention_cleaning,1,1,1,1,6.180981608114815e-14,4.6508672332329746e-14,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_93,ao_pair_46_bad,optimization_induced,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_94,ao_pair_47_good,context_conditioned_differentiation,1,1,0,0,1.995740071247636e-13,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_95,ao_pair_47_bad,constraint_generation,1,0,1,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_96,ao_pair_48_good,context_drift,1,1,0,0,1.4047827022357883e-13,inf,0,3,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_97,ao_pair_48_bad,intervention_cleaning,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_98,ao_pair_49_good,optimization_induced,1,1,1,0,3.6253159474793117e-14,inf,0,1,0,1,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_99,ao_pair_49_bad,context_conditioned_differentiation,1,0,0,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_100,ao_pair_50_good,constraint_generation,1,1,1,1,7.165266210270663e-14,6.229924280187824e-14,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_101,ao_pair_50_bad,context_drift,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_102,ao_pair_51_good,intervention_cleaning,1,1,1,1,1.1294630101758662e-13,1.334316266301184e-13,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_103,ao_pair_51_bad,optimization_induced,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_104,ao_pair_52_good,context_conditioned_differentiation,1,1,0,0,3.847463435365213e-14,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_105,ao_pair_52_bad,constraint_generation,1,0,1,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
