witness_id,family,n,m_total,rank,total_info,descriptor_signature,local_exact,global_exact,dls,cid,psi,il,tsf,alignment,residual,rank_only_pred,budget_only_pred,target_class,notes
single_345,single_context,4,4,4,6.18208737,n4|m4|r4|i6.18,1,1,0.0,0.0,,,1.0,1.0,0.0,1,1,linear_scalar,
single_346,single_context,4,2,2,2.89037242,n4|m2|r2|i2.89,0,0,1.0,0.0,,,0.00079381,0.02817468,1.68325082,0,1,linear_scalar,
single_347,single_context,6,4,4,6.64379175,n6|m4|r4|i6.64,0,0,1.0,0.0,,,0.13508894,0.36754447,1.41421356,0,1,linear_scalar,
single_348,single_context,4,2,2,4.78749193,n4|m2|r2|i4.79,0,0,1.0,0.0,,,0.36504386,0.6041886,1.25166556,0,1,linear_scalar,
single_349,single_context,6,1,1,2.39789536,n6|m1|r1|i2.40,0,0,0.88157895,0.0,,,0.00143706,0.03790861,3.19089614,0,0,linear_scalar,
single_350,single_context,6,3,3,5.53733508,n6|m3|r3|i5.54,0,0,0.0,0.0,,,0.0181136,0.13458678,3.12029173,0,1,linear_scalar,
single_351,single_context,4,3,3,5.04985678,n4|m3|r3|i5.05,0,0,0.0,0.0,,,0.04545603,0.21320421,2.081666,0,1,linear_scalar,
single_352,single_context,4,3,3,4.23410843,n4|m3|r3|i4.23,0,0,0.0,0.0,,,0.83699507,0.91487435,0.24077171,0,1,linear_scalar,
single_353,single_context,7,4,4,7.12286798,n7|m4|r4|i7.12,0,0,0.0,0.0,,,0.3077564,0.55475797,1.47670077,0,1,linear_scalar,
single_354,single_context,5,3,3,6.43935076,n5|m3|r3|i6.44,0,0,0.0,0.0,,,0.11782613,0.34325811,1.31348377,0,1,linear_scalar,
single_355,single_context,4,1,1,2.19722469,n4|m1|r1|i2.20,0,0,0.5,0.0,,,0.0,0.0,3.0,0,0,linear_scalar,
single_356,single_context,4,4,4,7.4753406,n4|m4|r4|i7.48,1,1,0.0,0.0,,,1.0,1.0,0.0,1,1,linear_scalar,
single_357,single_context,4,3,3,6.51619344,n4|m3|r3|i6.52,0,0,0.0,0.0,,,0.1449943,0.38078118,1.38461538,0,1,linear_scalar,
single_358,single_context,4,3,3,5.88610456,n4|m3|r3|i5.89,0,0,0.0,0.0,,,0.32452222,0.56966852,1.05409255,0,1,linear_scalar,
single_359,single_context,4,1,1,1.38629461,n4|m1|r1|i1.39,0,0,0.78571429,0.0,,,0.11926409,0.34534633,1.73205081,0,0,linear_scalar,
single_360,single_context,4,2,2,3.04452291,n4|m2|r2|i3.04,0,0,1.0,0.0,,,0.02117221,0.14550674,2.09307247,0,1,linear_scalar,
single_361,single_context,6,1,1,1.79175964,n6|m1|r1|i1.79,0,0,0.88461538,0.0,,,5.783e-05,0.00760467,3.29140294,0,0,linear_scalar,
single_362,single_context,5,2,2,5.11198795,n5|m2|r2|i5.11,0,0,0.0,0.0,,,0.08873275,0.29788043,1.71983468,0,1,linear_scalar,
