anomaly_id,type,family,n,contexts,descriptor_signature,local_exact,global_exact,fragility_metric,trigger,notes
p_ctx_825,local_exact_global_fail,multi_context_shared,6,4,n6|m8|r2|i-73.50,1,0,3.33497158,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_828,local_exact_global_fail,multi_context_shared,4,3,n4|m6|r2|i-47.62,1,0,2.2404788,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_829,context_drift_flip,multi_context_shared,4,4,n4|m8|r2|i-76.48,0,0,0.23571278,eps=0.08891,global verdict changed under context drift
p_ctx_flip_830,context_drift_flip,multi_context_shared,4,2,n4|m4|r2|i-21.94,0,0,0.23941456,eps=0.03706,global verdict changed under context drift
p_ctx_flip_831,context_drift_flip,multi_context_shared,5,3,n5|m6|r2|i-49.43,0,0,0.09459945,eps=0.02650,global verdict changed under context drift
p_ctx_832,local_exact_global_fail,multi_context_shared,6,2,n6|m4|r2|i-20.52,1,0,2.48536087,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_835,local_exact_global_fail,multi_context_shared,4,3,n4|m6|r2|i-48.71,1,0,1.88440668,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_836,local_exact_global_fail,multi_context_shared,4,4,n4|m8|r2|i-76.01,1,0,2.35824934,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_837,context_drift_flip,multi_context_shared,5,3,n5|m6|r2|i-48.82,0,0,0.0828112,eps=0.02550,global verdict changed under context drift
p_ctx_838,local_exact_global_fail,multi_context_shared,4,4,n4|m8|r2|i-76.78,1,0,1.81168126,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_839,local_exact_global_fail,multi_context_shared,6,3,n6|m6|r2|i-46.16,1,0,3.09939562,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_840,context_drift_flip,multi_context_shared,4,2,n4|m4|r2|i-21.85,0,0,0.21220212,eps=0.07335,global verdict changed under context drift
p_ctx_842,local_exact_global_fail,multi_context_shared,6,4,n6|m8|r2|i-74.07,1,0,2.40256431,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_843,local_exact_global_fail,multi_context_shared,5,4,n5|m8|r2|i-74.08,1,0,2.4139546,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_844,context_drift_flip,multi_context_shared,5,3,n5|m6|r2|i-48.91,0,0,0.44459007,eps=0.06570,global verdict changed under context drift
p_ctx_flip_845,context_drift_flip,multi_context_shared,4,2,n4|m4|r2|i-23.94,0,0,0.33153982,eps=0.09053,global verdict changed under context drift
p_ctx_flip_846,context_drift_flip,multi_context_shared,5,4,n5|m8|r2|i-75.33,0,0,0.29221791,eps=0.05079,global verdict changed under context drift
p_ctx_847,local_exact_global_fail,multi_context_shared,5,4,n5|m8|r2|i-74.08,1,0,2.32992721,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_848,local_exact_global_fail,multi_context_shared,4,3,n4|m6|r2|i-47.36,1,0,2.39884865,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_849,context_drift_flip,multi_context_shared,4,2,n4|m4|r2|i-22.03,0,0,0.22083096,eps=0.08799,global verdict changed under context drift
p_ctx_flip_850,context_drift_flip,multi_context_shared,4,2,n4|m4|r2|i-22.33,0,0,0.48685473,eps=0.08603,global verdict changed under context drift
p_ctx_flip_851,context_drift_flip,multi_context_shared,5,4,n5|m8|r2|i-75.35,0,0,0.45905366,eps=0.09544,global verdict changed under context drift
p_ctx_flip_853,context_drift_flip,multi_context_shared,5,2,n5|m4|r2|i-22.61,0,0,0.43050704,eps=0.09832,global verdict changed under context drift
p_ctx_855,local_exact_global_fail,multi_context_shared,4,4,n4|m8|r2|i-76.06,1,0,1.53155667,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_856,context_drift_flip,multi_context_shared,6,3,n6|m6|r2|i-47.84,0,0,0.6579691,eps=0.09476,global verdict changed under context drift
p_ctx_flip_857,context_drift_flip,multi_context_shared,6,3,n6|m6|r2|i-50.43,0,0,0.10785178,eps=0.05027,global verdict changed under context drift
p_ctx_859,local_exact_global_fail,multi_context_shared,5,4,n5|m8|r2|i-73.59,1,0,3.79262895,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_860,local_exact_global_fail,multi_context_shared,5,4,n5|m8|r2|i-73.96,1,0,3.4738613,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_861,local_exact_global_fail,multi_context_shared,4,2,n4|m4|r2|i-19.95,1,0,2.4710336,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_863,local_exact_global_fail,multi_context_shared,6,3,n6|m6|r2|i-48.43,1,0,1.82465608,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_865,context_drift_flip,multi_context_shared,5,4,n5|m8|r2|i-76.13,0,0,0.16353128,eps=0.08257,global verdict changed under context drift
p_ctx_866,local_exact_global_fail,multi_context_shared,4,4,n4|m8|r2|i-75.02,1,0,3.0082378,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_867,local_exact_global_fail,multi_context_shared,5,3,n5|m6|r2|i-46.55,1,0,2.95079942,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_868,local_exact_global_fail,multi_context_shared,6,3,n6|m6|r2|i-48.59,1,0,1.75374219,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_869,context_drift_flip,multi_context_shared,5,2,n5|m4|r2|i-21.59,0,0,0.13319763,eps=0.03528,global verdict changed under context drift
p_ctx_flip_870,context_drift_flip,multi_context_shared,4,4,n4|m8|r2|i-77.08,0,0,0.04804956,eps=0.02044,global verdict changed under context drift
p_ctx_flip_871,context_drift_flip,multi_context_shared,6,4,n6|m8|r2|i-75.10,0,0,0.22516248,eps=0.06038,global verdict changed under context drift
p_ctx_flip_872,context_drift_flip,multi_context_shared,5,4,n5|m8|r2|i-75.21,0,0,0.00844313,eps=0.00146,global verdict changed under context drift
p_ctx_flip_873,context_drift_flip,multi_context_shared,6,3,n6|m6|r2|i-48.73,0,0,0.17575023,eps=0.05956,global verdict changed under context drift
p_ctx_875,local_exact_global_fail,multi_context_shared,6,4,n6|m8|r2|i-73.67,1,0,3.80665522,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_877,context_drift_flip,multi_context_shared,4,2,n4|m4|r2|i-22.95,0,0,0.11275968,eps=0.03718,global verdict changed under context drift
p_ctx_879,local_exact_global_fail,multi_context_shared,5,3,n5|m6|r2|i-46.26,1,0,3.38077832,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_880,local_exact_global_fail,multi_context_shared,6,3,n6|m6|r2|i-46.15,1,0,3.54861975,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_881,context_drift_flip,multi_context_shared,6,4,n6|m8|r2|i-76.25,0,0,0.06927409,eps=0.02412,global verdict changed under context drift
p_ctx_883,local_exact_global_fail,multi_context_shared,6,3,n6|m6|r2|i-46.55,1,0,2.88539333,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_885,context_drift_flip,multi_context_shared,5,2,n5|m4|r2|i-22.66,0,0,0.66413526,eps=0.09854,global verdict changed under context drift
p_ctx_887,local_exact_global_fail,multi_context_shared,4,4,n4|m8|r2|i-75.56,1,0,1.58943883,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_889,local_exact_global_fail,multi_context_shared,6,4,n6|m8|r2|i-74.25,1,0,2.8284832,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_890,local_exact_global_fail,multi_context_shared,4,4,n4|m8|r2|i-78.11,1,0,1.00589976,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_891,local_exact_global_fail,multi_context_shared,6,3,n6|m6|r2|i-47.38,1,0,2.66939958,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_894,local_exact_global_fail,multi_context_shared,5,3,n5|m6|r2|i-47.78,1,0,2.50131272,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_895,context_drift_flip,multi_context_shared,5,3,n5|m6|r2|i-48.66,0,0,0.44071278,eps=0.09933,global verdict changed under context drift
p_ctx_flip_896,context_drift_flip,multi_context_shared,6,4,n6|m8|r2|i-74.66,0,0,0.15429176,eps=0.04150,global verdict changed under context drift
p_ctx_897,local_exact_global_fail,multi_context_shared,5,2,n5|m4|r2|i-20.62,1,0,2.41161763,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_898,local_exact_global_fail,multi_context_shared,5,4,n5|m8|r2|i-75.63,1,0,1.3783831,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_899,context_drift_flip,multi_context_shared,6,2,n6|m4|r2|i-21.14,0,0,0.20733011,eps=0.05004,global verdict changed under context drift
p_ctx_900,local_exact_global_fail,multi_context_shared,5,2,n5|m4|r2|i-22.06,1,0,1.67841389,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_901,context_drift_flip,multi_context_shared,6,2,n6|m4|r2|i-21.77,0,0,0.35568429,eps=0.09043,global verdict changed under context drift
p_ctx_902,local_exact_global_fail,multi_context_shared,4,2,n4|m4|r2|i-22.15,1,0,1.39992821,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_904,local_exact_global_fail,multi_context_shared,6,3,n6|m6|r2|i-47.13,1,0,1.9957351,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_905,context_drift_flip,multi_context_shared,5,2,n5|m4|r2|i-22.53,0,0,0.32405928,eps=0.09622,global verdict changed under context drift
p_ctx_906,local_exact_global_fail,multi_context_shared,6,2,n6|m4|r2|i-19.76,1,0,3.06143067,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_908,context_drift_flip,multi_context_shared,4,3,n4|m6|r2|i-48.76,0,0,0.45598004,eps=0.09691,global verdict changed under context drift
p_ctx_909,local_exact_global_fail,multi_context_shared,5,2,n5|m4|r2|i-21.42,1,0,1.97537285,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_910,local_exact_global_fail,multi_context_shared,4,4,n4|m8|r2|i-74.94,1,0,2.49403683,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_911,local_exact_global_fail,multi_context_shared,4,3,n4|m6|r2|i-47.22,1,0,2.98404257,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_912,local_exact_global_fail,multi_context_shared,6,4,n6|m8|r2|i-73.86,1,0,3.13925674,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_913,context_drift_flip,multi_context_shared,6,3,n6|m6|r2|i-48.12,0,0,0.30795924,eps=0.09889,global verdict changed under context drift
p_ctx_flip_915,context_drift_flip,multi_context_shared,5,4,n5|m8|r2|i-75.47,0,0,0.22257518,eps=0.03228,global verdict changed under context drift
p_ctx_flip_916,context_drift_flip,multi_context_shared,4,2,n4|m4|r2|i-23.07,0,0,0.26636839,eps=0.07959,global verdict changed under context drift
p_ctx_917,local_exact_global_fail,multi_context_shared,6,2,n6|m4|r2|i-20.58,1,0,1.79835418,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_918,context_drift_flip,multi_context_shared,6,4,n6|m8|r2|i-76.17,0,0,0.27117712,eps=0.04998,global verdict changed under context drift
p_ctx_919,local_exact_global_fail,multi_context_shared,4,2,n4|m4|r2|i-22.29,1,0,1.58623108,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_920,local_exact_global_fail,multi_context_shared,6,2,n6|m4|r2|i-21.27,1,0,2.02574108,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_921,local_exact_global_fail,multi_context_shared,5,4,n5|m8|r2|i-73.82,1,0,3.38340495,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_922,local_exact_global_fail,multi_context_shared,5,4,n5|m8|r2|i-76.10,1,0,1.43774619,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_923,local_exact_global_fail,multi_context_shared,4,2,n4|m4|r2|i-20.58,1,0,2.4,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_924,local_exact_global_fail,multi_context_shared,4,4,n4|m8|r2|i-75.74,1,0,1.64053322,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_926,local_exact_global_fail,multi_context_shared,4,3,n4|m6|r2|i-46.20,1,0,3.03097056,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_927,local_exact_global_fail,multi_context_shared,5,2,n5|m4|r2|i-20.76,1,0,1.85674818,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_928,context_drift_flip,multi_context_shared,4,3,n4|m6|r2|i-48.91,0,0,0.09571981,eps=0.05130,global verdict changed under context drift
p_ctx_929,local_exact_global_fail,multi_context_shared,5,4,n5|m8|r2|i-74.44,1,0,1.99645341,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_930,context_drift_flip,multi_context_shared,6,2,n6|m4|r2|i-21.53,0,0,0.01736782,eps=0.00567,global verdict changed under context drift
p_ctx_flip_931,context_drift_flip,multi_context_shared,4,4,n4|m8|r2|i-76.65,0,0,0.36182188,eps=0.08188,global verdict changed under context drift
p_ctx_flip_932,context_drift_flip,multi_context_shared,5,3,n5|m6|r2|i-48.33,0,0,0.04497964,eps=0.00978,global verdict changed under context drift
p_ctx_flip_933,context_drift_flip,multi_context_shared,4,4,n4|m8|r2|i-76.38,0,0,0.39212219,eps=0.09655,global verdict changed under context drift
p_ctx_934,local_exact_global_fail,multi_context_shared,6,3,n6|m6|r2|i-48.09,1,0,2.2323334,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_935,local_exact_global_fail,multi_context_shared,5,3,n5|m6|r2|i-48.57,1,0,1.87887429,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_936,local_exact_global_fail,multi_context_shared,5,3,n5|m6|r2|i-47.62,1,0,2.54821414,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_937,context_drift_flip,multi_context_shared,6,4,n6|m8|r2|i-76.59,0,0,0.13080657,eps=0.01727,global verdict changed under context drift
p_ctx_flip_940,context_drift_flip,multi_context_shared,4,3,n4|m6|r2|i-49.35,0,0,0.20282277,eps=0.07957,global verdict changed under context drift
p_ctx_flip_941,context_drift_flip,multi_context_shared,4,2,n4|m4|r2|i-22.17,0,0,0.01071844,eps=0.01011,global verdict changed under context drift
p_ctx_flip_942,context_drift_flip,multi_context_shared,5,4,n5|m8|r2|i-76.34,0,0,0.23629969,eps=0.04262,global verdict changed under context drift
p_ctx_943,local_exact_global_fail,multi_context_shared,6,4,n6|m8|r2|i-73.86,1,0,3.39916918,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_945,local_exact_global_fail,multi_context_shared,6,3,n6|m6|r2|i-48.21,1,0,2.46835978,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_946,local_exact_global_fail,multi_context_shared,4,3,n4|m6|r2|i-48.95,1,0,1.59746772,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_947,local_exact_global_fail,multi_context_shared,4,3,n4|m6|r2|i-47.68,1,0,2.73529883,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_949,context_drift_flip,multi_context_shared,5,2,n5|m4|r2|i-21.35,0,0,0.03967363,eps=0.01644,global verdict changed under context drift
p_ctx_flip_950,context_drift_flip,multi_context_shared,4,3,n4|m6|r2|i-48.88,0,0,0.19915716,eps=0.07921,global verdict changed under context drift
p_ctx_951,local_exact_global_fail,multi_context_shared,6,2,n6|m4|r2|i-21.86,1,0,1.26491106,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_952,context_drift_flip,multi_context_shared,6,3,n6|m6|r2|i-49.17,0,0,0.2373241,eps=0.08560,global verdict changed under context drift
p_ctx_954,local_exact_global_fail,multi_context_shared,4,4,n4|m8|r2|i-74.46,1,0,2.93090632,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_955,local_exact_global_fail,multi_context_shared,5,3,n5|m6|r2|i-46.83,1,0,3.39123043,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_956,local_exact_global_fail,multi_context_shared,5,4,n5|m8|r2|i-73.82,1,0,3.46464942,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_957,local_exact_global_fail,multi_context_shared,6,4,n6|m8|r2|i-74.83,1,0,3.02137077,shared_decoder_constraint,each context individually exact but no shared decoder
