formation_case_id,mechanism,n,k_contexts,pre_local_exact,pre_shared_exact,post_local_exact,post_shared_exact,pre_context_gap,post_context_gap,pre_alignment,post_alignment,pre_dls,post_dls,structure_created_flag,recoverability_change_shared,recoverability_change_local,pre_shared_aug_threshold,post_shared_aug_threshold,threshold_flip_flag,notes
fsec_646,context_conditioned_differentiation,4,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_647,intervention_generated_structure,5,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_648,feedback_induced_structure,4,2,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0,0,0,3,3,0,EXPLORATION/NON-PROMOTED
fsec_649,local_to_global_organization,6,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_650,optimization_induced_structure,7,2,0,0,0,0,0,0,0.5362595299,0.8265780061,0.0,0.7631578947,1,0,0,,,0,EXPLORATION/NON-PROMOTED
fsec_651,constraint_generation,5,2,0,0,1,1,0,0,0.2055700905,1.0,0.0,0.0,1,1,1,4,0,1,EXPLORATION/NON-PROMOTED
fsec_652,symmetry_breaking,7,2,0,0,1,0,0,1,0.0003472825,1.0,0.7929155313,0.0,1,0,1,,1,1,EXPLORATION/NON-PROMOTED
fsec_653,context_conditioned_differentiation,6,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_654,intervention_generated_structure,6,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_655,feedback_induced_structure,6,2,0,0,0,0,0,0,0.5975077641,0.7008342893,1.0,0.0,1,0,0,,4,1,EXPLORATION/NON-PROMOTED
fsec_656,local_to_global_organization,4,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_657,optimization_induced_structure,4,2,0,0,0,0,0,0,0.2130089971,0.7418011103,0.0,0.0,1,0,0,2,2,0,EXPLORATION/NON-PROMOTED
fsec_658,constraint_generation,7,2,0,0,1,1,0,0,0.736487545,1.0,1.0,0.0,1,1,1,,0,1,EXPLORATION/NON-PROMOTED
fsec_659,symmetry_breaking,5,2,0,0,1,0,0,1,0.0083065583,1.0,0.7948717949,0.0,1,0,1,4,1,1,EXPLORATION/NON-PROMOTED
