formation_id,route,n,pre_m,post_m,pre_rank,post_rank,pre_exact,post_exact,pre_dls,post_dls,pre_alignment,post_alignment,new_structure_flag,recoverability_change,notes
form_2525,constraint_generation,5,2,3,2,3,0,1,0.42857143,0.0,0.38762756,1.0,1,1,
form_2526,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.03728028,1.0,1,1,
form_2527,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.06918865,1.0,1,1,
form_2528,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.15996406,1.0,1,1,
form_2529,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.19349986,1.0,1,1,
form_2530,constraint_generation,5,2,3,2,3,0,1,0.11111111,0.0,0.11957514,1.0,1,1,
form_2531,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.022225,1.0,1,1,
form_2532,constraint_generation,5,2,3,2,3,0,1,0.2,0.0,0.51010205,1.0,1,1,
form_2533,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.16191829,1.0,1,1,
form_2534,constraint_generation,5,2,3,2,3,0,1,0.8,0.0,0.44098301,1.0,1,1,
form_2535,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.07536761,1.0,1,1,
form_2536,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.2379621,1.0,1,1,
form_2537,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.06894474,1.0,1,1,
form_2538,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.0136902,1.0,1,1,
form_2539,constraint_generation,5,2,3,2,3,0,1,0.5,0.0,0.08505672,1.0,1,1,
form_2540,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.29827053,1.0,1,1,
form_2541,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.62284401,1.0,1,1,
form_2542,constraint_generation,5,2,3,2,3,0,1,0.8,0.0,0.20664525,1.0,1,1,
form_2543,constraint_generation,5,2,3,2,3,0,1,0.91666667,0.0,0.05719096,1.0,1,1,
form_2544,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.24451986,1.0,1,1,
form_2545,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.02513867,1.0,1,1,
form_2546,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.75844235,1.0,1,1,
form_2547,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.2480961,1.0,1,1,
form_2548,constraint_generation,5,2,3,2,3,0,1,0.77777778,0.0,0.23552921,1.0,1,1,
form_2549,constraint_generation,5,2,3,2,3,0,1,0.71428571,0.0,0.34534633,1.0,1,1,
form_2550,symmetry_breaking,5,2,2,1,2,0,1,0.81818182,0.0,0.0,1.0,1,1,
form_2551,symmetry_breaking,5,2,2,1,2,0,1,0.9375,0.0,0.04851409,1.0,1,1,
form_2552,symmetry_breaking,5,2,2,1,2,0,1,0.81818182,0.0,0.00589976,1.0,1,1,
form_2553,symmetry_breaking,5,2,2,1,2,0,1,0.86363636,0.0,0.10993944,1.0,1,1,
form_2554,symmetry_breaking,5,2,2,1,2,0,1,0.93055556,0.0,0.19377423,1.0,1,1,
form_2555,symmetry_breaking,5,2,2,1,2,0,1,0.72222222,0.0,0.0,1.0,1,1,
form_2556,symmetry_breaking,5,2,2,1,2,0,1,0.875,0.0,0.07121727,1.0,1,1,
form_2557,symmetry_breaking,5,2,2,1,2,0,1,0.97058824,0.0,0.00267738,1.0,1,1,
form_2558,symmetry_breaking,5,2,2,1,2,0,1,0.94444444,0.0,0.10128297,1.0,1,1,
form_2559,symmetry_breaking,5,2,2,1,2,0,1,0.9375,0.0,0.04496706,1.0,1,1,
form_2560,symmetry_breaking,5,2,2,1,2,0,1,0.96610169,0.0,0.06595023,1.0,1,1,
form_2561,symmetry_breaking,5,2,2,1,2,0,1,0.95,0.0,0.10419358,1.0,1,1,
form_2562,symmetry_breaking,5,2,2,1,2,0,1,0.92741935,0.0,0.01257912,1.0,1,1,
form_2563,symmetry_breaking,5,2,2,1,2,0,1,0.86363636,0.0,0.0,1.0,1,1,
form_2564,symmetry_breaking,5,2,2,1,2,0,1,0.8,0.0,0.00428267,1.0,1,1,
form_2565,symmetry_breaking,5,2,2,1,2,0,1,0.75,0.0,0.36379099,1.0,1,1,
form_2566,symmetry_breaking,5,2,2,1,2,0,1,0.59322034,0.0,0.1246522,1.0,1,1,
form_2567,symmetry_breaking,5,2,2,1,2,0,1,0.5,0.0,0.04257289,1.0,1,1,
form_2568,symmetry_breaking,5,2,2,1,2,0,1,0.85714286,0.0,0.33205251,1.0,1,1,
form_2569,symmetry_breaking,5,2,2,1,2,0,1,0.93220339,0.0,0.04496706,1.0,1,1,
form_2570,symmetry_breaking,5,2,2,1,2,0,1,0.87096774,0.0,0.04653741,1.0,1,1,
form_2571,symmetry_breaking,5,2,2,1,2,0,1,0.55555556,0.0,0.32505144,1.0,1,1,
form_2572,symmetry_breaking,5,2,2,1,2,0,1,0.91666667,0.0,0.12168993,1.0,1,1,
form_2573,symmetry_breaking,5,2,2,1,2,0,1,0.93055556,0.0,0.00985246,1.0,1,1,
form_2574,symmetry_breaking,5,2,2,1,2,0,1,0.91666667,0.0,0.26620061,1.0,1,1,
form_2575,symmetry_breaking,5,2,2,1,2,0,1,0.87096774,0.0,0.0139867,1.0,1,1,
form_2576,symmetry_breaking,5,2,2,1,2,0,1,0.975,0.0,0.00506332,1.0,1,1,
form_2577,symmetry_breaking,5,2,2,1,2,0,1,0.875,0.0,0.00836835,1.0,1,1,
form_2578,symmetry_breaking,5,2,2,1,2,0,1,0.97058824,0.0,0.06845902,1.0,1,1,
form_2579,symmetry_breaking,5,2,2,1,2,0,1,0.89830508,0.0,0.29852763,1.0,1,1,
form_2580,symmetry_breaking,5,2,2,1,2,0,1,0.74193548,0.0,0.1339746,1.0,1,1,
form_2581,symmetry_breaking,5,2,2,1,2,0,1,0.91176471,0.0,0.17980047,1.0,1,1,
form_2582,symmetry_breaking,5,2,2,1,2,0,1,0.8,0.0,0.26717189,1.0,1,1,
form_2583,symmetry_breaking,5,2,2,1,2,0,1,0.5,0.0,0.0,1.0,1,1,
form_2584,symmetry_breaking,5,2,2,1,2,0,1,0.82352941,0.0,0.0,1.0,1,1,
form_2585,symmetry_breaking,5,2,2,1,2,0,1,0.85185185,0.0,0.411438,1.0,1,1,
form_2586,symmetry_breaking,5,2,2,1,2,0,1,0.88235294,0.0,0.00569805,1.0,1,1,
form_2587,symmetry_breaking,5,2,2,1,2,0,1,0.56097561,0.0,0.15388589,1.0,1,1,
form_2588,symmetry_breaking,5,2,2,1,2,0,1,0.94444444,0.0,0.01550482,1.0,1,1,
form_2589,symmetry_breaking,5,2,2,1,2,0,1,0.85294118,0.0,0.04178196,1.0,1,1,
form_2590,symmetry_breaking,5,2,2,1,2,0,1,0.81818182,0.0,0.22257116,1.0,1,1,
form_2591,symmetry_breaking,5,2,2,1,2,0,1,0.81818182,0.0,0.13692529,1.0,1,1,
form_2592,symmetry_breaking,5,2,2,1,2,0,1,0.88636364,0.0,0.27239312,1.0,1,1,
form_2593,symmetry_breaking,5,2,2,1,2,0,1,0.93220339,0.0,0.03267674,1.0,1,1,
form_2594,symmetry_breaking,5,2,2,1,2,0,1,0.94444444,0.0,0.12095093,1.0,1,1,
form_2595,symmetry_breaking,5,2,2,1,2,0,1,0.86440678,0.0,0.00397616,1.0,1,1,
form_2596,symmetry_breaking,5,2,2,1,2,0,1,0.70833333,0.0,0.57182558,1.0,1,1,
form_2597,symmetry_breaking,5,2,2,1,2,0,1,1.0,0.0,0.01315847,1.0,1,1,
form_2598,symmetry_breaking,5,2,2,1,2,0,1,0.96296296,0.0,0.00843897,1.0,1,1,
form_2599,symmetry_breaking,5,2,2,1,2,0,1,0.875,0.0,0.01105006,1.0,1,1,
form_2600,symmetry_breaking,5,2,2,1,2,0,1,0.93055556,0.0,0.00626965,1.0,1,1,
form_2601,symmetry_breaking,5,2,2,1,2,0,1,0.84745763,0.0,0.35450278,1.0,1,1,
form_2602,symmetry_breaking,5,2,2,1,2,0,1,0.78125,0.0,0.08712907,1.0,1,1,
form_2603,symmetry_breaking,5,2,2,1,2,0,1,0.85185185,0.0,0.0537311,1.0,1,1,
form_2604,symmetry_breaking,5,2,2,1,2,0,1,0.70731707,0.0,0.25597619,1.0,1,1,
form_2605,symmetry_breaking,5,2,2,1,2,0,1,0.86363636,0.0,0.27029627,1.0,1,1,
form_2606,symmetry_breaking,5,2,2,1,2,0,1,0.48387097,0.0,0.75980777,1.0,1,1,
form_2607,symmetry_breaking,5,2,2,1,2,0,1,0.82352941,0.0,0.07558372,1.0,1,1,
form_2608,symmetry_breaking,5,2,2,1,2,0,1,1.0,0.0,0.02503874,1.0,1,1,
form_2609,symmetry_breaking,5,2,2,1,2,0,1,0.82352941,0.0,0.00325204,1.0,1,1,
form_2610,symmetry_breaking,5,2,2,1,2,0,1,0.75,0.0,0.04424818,1.0,1,1,
form_2611,symmetry_breaking,5,2,2,1,2,0,1,0.625,0.0,0.73273876,1.0,1,1,
form_2612,symmetry_breaking,5,2,2,1,2,0,1,0.69491525,0.0,0.6316058,1.0,1,1,
form_2613,symmetry_breaking,5,2,2,1,2,0,1,0.90909091,0.0,0.0408337,1.0,1,1,
