dataset,arena,failure_case,scalar_metric,scalar_value,augmented_metric,augmented_value,delta_aug_minus_scalar,status
information_real_system,data_inference,knn5_scalar_outperforms_augmented,knn5_acc_amount,0.6115530303030303,knn5_acc_augmented,0.5558712121212122,-0.055681818181818166,FAILURE_FOUND
gravity_recoverability,data_inference,knn5_scalar_outperforms_augmented,knn5_acc_amount,0.6590556730091613,knn5_acc_augmented,0.6551303735024666,-0.003925299506694735,FAILURE_FOUND
external_uci_magic_gamma,data_inference,nearest_centroid_scalar_outperforms_augmented,nearest_centroid_acc_amount,0.6614618356020434,nearest_centroid_acc_augmented,0.6614092455415649,-5.25900604785301e-05,FAILURE_FOUND
